tpname frequency symbolrate FEC standard modulation
BS02 997 23500 5/6 DVB-S2 8PSK
BS04 1035 21300 7/8 DVB-S QPSK
BS06 1074 23500 5/6 DVB-S2 8PSK
BS08 1111 23500 5/6 DVB-S2 8PSK
BS10 1150 21300 2/3 DVB-S2 8PSK
BS12 1188 23500 5/6 DVB-S2 8PSK
CS02 1540 29500 3/4 DVB-S2 8PSK
CS04 1580 29500 3/4 DVB-S2 8PSK
CS06 1620 29500 3/4 DVB-S2 8PSK
CS08 1660 29500 3/4 DVB-S2 8PSK
CS10 1700 27489 3/4 DVB-S2 8PSK
CS12 1740 29500 3/4 DVB-S2 8PSK
CS14 1780 27489 3/4 DVB-S2 8PSK
CS16 1820 29500 3/4 DVB-S2 8PSK
CS18 1860 29500 3/4 DVB-S2 8PSK
CS20 1900 29500 3/4 DVB-S2 8PSK
CS22 1940 29500 3/4 DVB-S2 8PSK
CS24 1980 29500 3/4 DVB-S2 8PSK
